,Gene
762,GREB1
763,GREM2
764,GRIA4
765,GRIN1
766,GRK6
767,GRM3
768,GRM4
769,GRTP1
770,GSDMB
771,GSE1
772,GTF2A2
773,GTF2E2
774,GTF2H1
775,GTF2I
776,GTPBP2
777,GUCY1A1
778,GUCY2D
779,GYG1
780,GYPA
781,GYPC
782,GZF1
783,HAL
784,HAMP
785,HAPLN2
786,HAPLN3
787,HBA1
788,HBA2
789,HBB
790,HBE1
791,HBM
792,HCN3
793,HCN4
794,HCRTR2
795,HDAC6
796,HDDC3
797,HDGFL2
798,HEATR6
799,HEATR9
800,HECTD4
801,HELB
802,HHATL
803,HIF1AN
804,HIGD1A
805,HIRA
806,HJURP
807,HK1
808,HLA-C
809,HLA-DOB
810,HLA-DPA1
811,HLA-DQA2
812,HLA-DQB1
813,HLA-DQB2
814,HLA-DRB5
815,HLA-E
816,HLTF
817,HMG20B
818,HMGA2
819,HMGCL
820,HNF1A
821,HNF1B
822,HNF4A
823,HOOK3
824,HOXB13
825,HPD
826,HPN
827,HR
828,HRAS
829,HRG
830,HSCB
831,HSD11B2
832,HSF1
833,HSPA6
834,HSPG2
835,HTR2B
836,HUWE1
837,HYAL2
838,HYLS1
839,IFITM5
840,IFNA13
841,IFNA21
842,IFNLR1
843,IFRD2
844,IFT122
845,IFT172
846,IGF1R
847,IGF2BP2
848,IGFALS
849,IGFBP3
850,IGLL5
851,IGSF1
852,IGSF10
853,IGSF23
854,IGSF6
855,IHH
856,IKZF2
857,IL17RA
858,IL17RD
859,IL18RAP
860,IL1A
861,IL23A
862,IL27RA
863,IL5
864,IL5RA
865,INPP5D
866,INSC
867,INSR
868,INSRR
869,INTS13
870,INTS9
871,IPO7
872,IQCC
873,IQCF5
874,IQGAP2
875,IRAK1
876,IRAK2
877,IRF3
878,IRF8
879,IRF9
880,IRS4
881,IRX2
882,IRX6
883,ITGA2B
884,ITGAL
885,ITGB2
886,ITIH3
887,ITIH4
888,ITPR3
889,IZUMO1R
890,JAK1
891,JAK2
892,JAML
893,JAZF1
894,JKAMP
895,JMJD1C
896,JMJD4
897,JOSD2
898,JPT1
899,JRKL
900,KALRN
901,KAT2B
902,KAT5
903,KBTBD12
904,KBTBD6
905,KBTBD8
906,KCNA7
907,KCNIP4
